SourceIP,DestinationIP,SourcePort,DestinationPort,TimeStamp,Duration,FlowBytesSent,FlowSentRate,FlowBytesReceived,FlowReceivedRate,PacketLengthVariance,PacketLengthStandardDeviation,PacketLengthMean,PacketLengthMedian,PacketLengthMode,PacketLengthSkewFromMedian,PacketLengthSkewFromMode,PacketLengthCoefficientofVariation,PacketTimeVariance,PacketTimeStandardDeviation,PacketTimeMean,PacketTimeMedian,PacketTimeMode,PacketTimeSkewFromMedian,PacketTimeSkewFromMode,PacketTimeCoefficientofVariation,ResponseTimeTimeVariance,ResponseTimeTimeStandardDeviation,ResponseTimeTimeMean,ResponseTimeTimeMedian,ResponseTimeTimeMode,ResponseTimeTimeSkewFromMedian,ResponseTimeTimeSkewFromMode,ResponseTimeTimeCoefficientofVariation,DoH
192.168.20.205,1.1.1.1,55268,443,2020-04-01 10:08:49,120.892863,39956,330.5075172220877918988484870,70650,584.4017442121459229565933929,12444.750192241943,111.55604059055675,124.6967305524239,87.0,87,1.013752290405732,0.337917430135244,0.8946188091407684,1006.354699754668591070568363,31.72309410752155164167915487,64.03870579932356257046223224,65.290486,0.0,-0.1183787618351805197397802239,2.0186777992799882,0.4953737542250056057605022927,0.4355913354399470791195716838,0.6599934359067119382009043355,0.1785312780487804878048780488,0.002307,1.1e-05,0.8010274123712160042796089748,0.27048795993482244,3.696794439159173565902324877,True
1.1.1.1,192.168.20.205,443,55268,2020-04-01 10:10:50,120.639963,79416,658.2893265641999575215386961,46755,387.5581427358362170585214785,8069.990050850592,89.83312335019077,121.31826923076923,87.0,87,1.1460673285394463,0.3820224428464821,0.740474818176906,1207.867178994439900147928997,34.75438359393588640874579521,56.60667161538461538461538462,55.776013,0.0,0.07170249011663260224500704178,1.6287635043903246,0.6139626761678442647632076107,0.000007434582979760145122278957266,0.002726643170596428652217669929,0.0002353729508196721311475409836,0.0000315,2.6e-05,0.2243120255171600889702071186,0.07678780746872486,11.58435224226512843483678610,True
1.1.1.1,192.168.20.205,443,55268,2020-04-01 10:12:51,120.690013,77836,644.9249450325272564184743273,46200,382.7988650560506609606546318,9645.9350425867,98.21372125414402,123.17378351539226,87.0,87,1.104951010514713,0.3683170035049043,0.797358970806242,1239.247253536835993556524392,35.20294381918699698614954382,56.87034748460774577954319762,55.783910,0.0,0.09258636069085742525588319821,1.6154997654943606,0.6190034943731415767222459961,4.627757786539487956474578606E-9,0.00006802762517198059558081921388,0.00004079253112033195020746887967,0.000032,2e-05,0.3877482610088280130120882059,0.3056483460618589,1.667649035342012362422686456,True
1.1.1.1,192.168.20.205,443,55268,2020-04-01 10:14:52,120.673598,78497,650.4902588551308464341968158,46742,387.3423911666245337277504562,13338.264242433152,115.49140332697128,128.31864754098362,87.0,87,1.0732915096028002,0.3577638365342667,0.9000360083290665,1229.896363972771515150497175,35.06987829994240962550608364,57.46328694262295081967213115,55.8061575,0.0,0.1417566461266281690334188455,1.6385368221456678,0.6103005965349607823109033876,6.325813551756885090218423547E-7,0.0007953498319454707152178470013,0.0001061111111111111111111111111,0.000038,1.9e-05,0.2569100100688051096938699063,0.10952552903422687,7.495443442418048625089657605,True
1.1.1.1,192.168.20.205,443,55268,2020-04-01 10:16:52,120.681791,78652,651.7304669434347390485777593,46294,383.6038528795118726734839393,8396.058692323186,91.63000978021985,121.77972709551656,87.0,87,1.1387009729324875,0.37956699097749586,0.7524241675164116,1187.558993669861474535374607,34.46097783972273579766907931,57.01001544054580896686159844,55.808215,0.0,0.1046227225009711168510683313,1.654335396566463,0.6044723470678788044618630753,9.639034971996448330032101603E-8,0.0003104679528066696987932670955,0.00007281404958677685950413223140,0.000033,2.1e-05,0.3847165147982533907373929155,0.16689017052604393,4.263846806606552812438036270,True
1.1.1.1,192.168.20.205,443,55268,2020-04-01 10:18:53,40.226932,29805,740.9215298845062308007978337,17624,438.1144453173809029234444228,8255.135145512288,90.85777427117775,120.99234693877551,87.0,87,1.1223810140006487,0.3741270046668829,0.7509381921251065,168.9104290879476380674718867,12.99655450832826069394438197,18.88392662244897959183673469,18.654022,0.0,0.05306897815917030091624616118,1.452994838774235,0.6882336903850344675707573060,9.737306238185255198487712663E-10,0.00003120465708541796361601639714,0.00003817391304347826086956521739,0.0000345,5.5e-05,0.3532081477538580826245280870,-0.5392171723106236,0.8174340694357780901689944581,True
23.15.4.17,192.168.20.191,443,63916,2020-01-13 11:48:03,1.906338,629981,330466.5804280248308537100976,12697,6660.413840567622320910562555,438855.7665281875,662.4618981708967,1026.6421725239616,1514.0,1514,-2.207030300859569,-0.7356767669531897,0.6452704904399736,0.2839524693903226556359664789,0.5328719071130722083864529516,0.9393974712460063897763578275,0.990129,0.854941,-0.2856119533238708648362427508,0.15849300764148797,0.5672486071378037874649700011,0.00003297477144206537618699780860,0.005742366362577833311592521242,0.0006906554054054054054054054054,0.000018,1.7e-05,0.3514171839273454668995151193,0.11731320554458519,8.314372576592145436822574952,False
192.168.20.191,23.15.4.17,63914,443,2020-01-13 11:48:03,1.767017,11702,6622.460338525322619986112188,408820,231361.6677145720725946609455,484964.41992396093,696.3938683848106,916.1699346405229,1514.0,1514,-2.5753963058838876,-0.858465435294629,0.760114299819339,0.2415468206592329445939595878,0.4914741302034451381526120852,0.8974810130718954248366013072,0.702351,0.18886,1.191090239019019691393220862,1.4418276965637287,0.5476150726812914980912964790,0.002022969605092958131275186118,0.04497743439873997672123333094,0.01103150413223140495867768595,0.000301,2.3e-05,0.7157258484622690285400214423,0.24475616004766612,4.077180578424180471309242833,False
192.168.20.191,23.15.4.17,63918,443,2020-01-13 11:48:03,2.151764,34146,15868.84063493951938967284516,1407144,653949.0390210078800463247828,468586.3430015446,684.5336682746471,986.5092402464065,1514.0,1514,-2.3117522959087884,-0.7705840986362629,0.6938948368123413,0.5528391871011780216732465962,0.7435315642937951438379897815,1.315347300479123887748117728,1.500290,0.021816,-0.7462065165849455261091342690,1.7397126935797504,0.5652739500989274020814549791,0.00003986814619625504864919190218,0.006314122757458477592438554840,0.002321303258145363408521303258,0.000407,2.6e-05,0.9095340706913483333457626735,0.363518947336598,2.720076635959763074263640014,False
192.168.20.191,23.15.4.17,63917,443,2020-01-13 11:48:03,1.808925,11290,6241.275895905026465994997029,449611,248551.4877620686319222742789,475393.3134819358,689.4877181516258,974.4207188160676,1514.0,1514,-2.34773992478256,-0.7825799749275201,0.707587292467838,0.4059997469872294427633431482,0.6371810943422830736454536469,1.166222539112050739957716702,1.471534,0.239285,-1.437478906384223449274457868,1.4547473980985934,0.5463632136859795943853418737,0.003599055844952208504801097393,0.05999213152532762362477159921,0.008355103703703703703703703704,0.000295,1.8e-05,0.4030580427185289908593945490,0.13896995308766324,7.180297654322821703429144566,False
